MainFrame	SubFrame	Name	DurationDays	OpenDay	OpenTime	NewMaxLevel	NotLockFrame
OpenLevel39		Cấp tối đa Lv39	10		0	39	
	OpenDay1	Lửa Trại Bang Hội		1	1000		
	OpenDay1A	Tăng võ công Minh Chủ Võ Lâm, Chiến Trường Tống Kim		2	1900		
	OpenDay2D	Ủy thác rời mạng, Top 10 lực chiến khi chat được ký hiệu riêng		3	0		
	OpenDay2	Bang Hội Truyền Công, Nhiệm Vụ Thương Hội, Lăng Tuyệt Phong		4	1000		
	OpenDay2A	Tăng võ công Minh Chủ Võ Lâm		5	1200		
	OpenDay2B			6	1800		
	OpenDay2C	Tăng võ công Minh Chủ Võ Lâm		7	1900		
	OpenDay3C	Thủ Lĩnh Dã Ngoại Lv20 Bạch Mi Hầu Vương, Đại Địa Lang Vương, Hàn Ngọc Lộc Vương		8	0		
	OpenDay3	Bạch Hổ Đường, Khiêu Chiến Anh Hùng		9	1000		
	OpenDay3A	Tăng võ công Minh Chủ Võ Lâm		9	1200		
	OpenDay3B	Tăng võ công Minh Chủ Võ Lâm		9	1900		
	OpenDay4A	EXP cộng thêm bậc 1		9	400		
	OpenDay4	Thi Đấu Môn Phái, Thí Luyện Bang Hội, Thông Thiên Tháp		9	1000		
	OpenDay5A	EXP cộng thêm bậc 2		9	400		
	OpenDay5	Bang Hội Chiến, Vận Tiêu Bang Hội		9	1000		
OpenLevel49		Cấp tối đa Lv49	4		400	49	
	OpenDay6	Quần Anh Hội, Thủ Lĩnh Dã Ngoại Lv40 Song Thủ Dị Thú, Bôn Diệm Báo Vương, Cửu Vĩ Hồ Vương, Cấp Gia Viên (Lv1, Lv2), Tạo gia cụ (Lv1, Lv2)		1	1000		
	OpenDay7	Danh Tướng Lv40 Ngao Bái, Viên Thừa Chí, Hàn Thế Trung, Triết Biệt, Cao Trường Cung, Tần Lương Ngọc		2	1000		
	OpenDay8			3	1000		
	OpenDay10			3	400		
	OpenDay12			3	1000		
OpenLevel59		Cấp tối đa Lv59	4		400	59	
	OpenDay15			1	1000		
	OpenDomainBattle	Mở Công Thành Chiến		1	400		
	OpenDay16			2	1000		
	OpenDay20	Quà Mỗi Ngày 1		3	400		
OpenLevel69		Cấp tối đa Lv69	5		400	69	
	OpenDay33			1	1000		
	HuaShanLunJian	Mở Hoa Sơn Luận Kiếm		1	400		1
	OpenDay35	Thủ Lĩnh Dã Ngoại Lv60 Định Hải Kim Cang, Kim Sí Bằng Hoàng, Ngân Giác Tê Hoàng		2	1000		
	OpenDay36			3	1000		
	OpenDay118	Tâm Ma Ảo Cảnh		3	1000		1
	OpenDay39			3	1000		
	OpenDay42	Thay đổi phần thưởng Minh Chủ Võ Lâm		3	1000		
	OpenDay45			3	1000		
	OpenDay52	Danh Tướng Lv60 Kinh Kha, Ngu Cơ, Nhạc Phi		2	1000		
OpenLevel79		Cấp tối đa Lv79	7		400	79	
	OpenDay67	Quà Mỗi Ngày 2		1	400		
	OpenDay69	Cấp Gia Viên (Lv3)		1	1000		1
	OpenDay70			1	400		
	OpenDay72			1	400		
	OpenDay90			1	400		
	OpenDay89	Tần Lăng		1	1000		
	OpenDay99	Cấp Chế Tạo (Lv3)		1	1000		1
	OpenDay100			1	400		
OpenLevel89		Cấp tối đa Lv89	9		400	89	
	OpenDay114	Cấp Gia Viên (Lv4)		1	1000		1
	OpenDay116	Thủ Lĩnh Dã Ngoại Lv80 Hám Thiên Hùng Hoàng, Xích Tinh Hổ Hoàng, Tử Bối Ngạc Hoàng		1	1000		
	OpenDay128	Danh Tướng Lv80 Lý Quảng , Triệu Vân, Lý Nguyên Bá		1	1000		
	OpenDay130			1	400		
	OpenDay141			1	1000		
	OpenDay143			1	400		
	OpenDay145			1	400		
	OpenImperialTomb	Mở Tần Lăng		1	1000		
	OpenDay153	Tăng phần thưởng Tần Lăng		1	400		
	OpenDay180			1	400		
	OpenDay159	Mở Thức Tỉnh Đồng Hành		1	1000		
	OpenDay160			1	400		
OpenLevel99		Cấp tối đa Lv99	11		400	99	
	OpenLevel99Add1	Quà Mỗi Ngày mở Đá Hồn Dương Tẫn Thầm		1	400		1
	OpenCrossDomainBattle	Mở Công Thành Liên SV		1	400		
	OpenDay174	Cấp Gia Viên (Lv5)		1	1000		1
	OpenKeyQuestFuben	Mở Di Tích Tầm Bảo		1	400		
	OpenDay188	Mở quân hàm Vô Song		1	400		
	OpenDay204	Tần Lăng rơi Đồng Hành SSS Tần Thủy Hoàng		1	400		
	OpenDay208			1	400		
	OpenDay221			1	400		
	OpenDay224	Cấp Chế Tạo (Lv4)		1	1000		1
	OpenDay234	Tần Lăng rơi Vũ Khí Bổn Mạng		1	400		
OpenLevel109		Lv109, Minh Chủ Võ Lâm Đường Giản, Môn Khách, khu vực 1 Tuyệt Học mở	13		400	109	
	OpenLevel109Add1	Quà Mỗi Ngày mở Đá Hồn Hoàn Nhan Tuyết Y		1	400		1
	OpenDay249	Cấp Gia Viên (Lv6)		1	1000		1
	OpenDay251	Thủ Lĩnh Dã Ngoại Lv100 Băng Lân Tích Hoàng, Ngân Câu Hạt Hoàng, Cuồng Tông Ngao Hoàng		1	1000		
	OpenDay279	Mở Đồng Hành SSS Hoàn Nhan Hồng Liệt		1	1000		
	OpenDay285			1	1000		
	OpenDay290	Mở Môn Khách 2, Môn Khách 3 Sao		1	1000		
	OpenLevel109Add45	Mở giới hạn Lv109 45 ngày		1	400		
	OpenDay309			1	400		
	OpenDay360			1	400		
OpenLevel119		Lv119, Môn Khách 3, Lãnh Thổ Chiến Liên SV	14		400	119	
	OpenLevel119Add1	Quà Mỗi Ngày mở Đá Hồn Diệp Vô Tâm		1	400		1
	OpenDay353	Danh Tướng Lv110 Hạng Vũ		1	1000		
	OpenDay369	Mở Tuyệt Học Khu 2		1	1000		
	OpenLevel119Add45	Mở giới hạn Lv119 45 ngày		1	400		
	OpenDay399	Tạo gia cụ (Lv5)		1	1000		1
	OpenLevel119Add70	Mở bày bán Đà Hồn Dương Tẫn Thầm		1	400		
OpenLevel129		Cấp tối đa Lv129, Môn Khách 4, Cấp Gia Viên (Lv7)	15		400	129	
	OpenLevel129Add1	Quà Mỗi Ngày mở Đá Hồn Vân Hạo Nhiên		1	400		1
	OpenLevel129Add10	Mở Võ Tắc Thiên		1	400		
	OpenLevel129Add30	Trang bị Hoàng Kim do Võ Tắc Thiên tạo ra		1	400		
	OpenLevel129Add45			1	400		
	OpenLevel129Add49	Mở bày bán Đá Hồn Hoàn Nhan Tuyết Y		1	400		
	OpenLevel129Add50	Mở giới hạn Lv129 50 ngày		1	400		
	OpenDay489			1	400		
	OpenDay492	Quà Mỗi Ngày mở Đá Hồn Bản Tướng		1	400		1
OpenLevel139		Giới hạn Lv139	16		400	139	
	OpenLevel139Add30	Mở giới hạn Lv139 30 ngày		1	400		
	OpenLevel139Add39	Mở bán Đá Hồn Diệp Vô Tâm		1	400		
	OpenLevel139Add45	Mở giới hạn Lv139 45 ngày		1	400		
	OpenLevel139Add55	Mở giới hạn Lv139 55 ngày		1	400		
	OpenLevel139Add60	Mở tối đa Lv139 được 60 ngày		1	400		
	OpenLevel139Add80	Mở giới hạn Lv139 80 ngày		1	400		
	OpenLevel139Add86	Quà Mỗi Ngày mở Đá Hồn Trương Thừa Tố		1	400		1
	OpenLevel139Add90	Mở giới hạn Lv139 90 ngày		1	400		
OpenLevel149		Cấp tối đa 149	16		400	149	
	OpenLevel149Add9	Mở bán Đá Hồn Vân Hạo Nhiên		1	400		
	OpenLevel149Add45	Mở giới hạn Lv149 45 ngày		1	400		
	OpenLevel149Add55	Mở giới hạn Lv149 55 ngày		1	400		
	OpenLevel149Add65	Quà Mỗi Ngày mở Đá Hồn Dương Kế Chu		1	400		1
	OpenLevel149Add90	Mở cấp tối đa Lv149 90 ngày		1	400		
OpenLevel159		Cấp tối đa Lv159, mở chế tạo Gia Cụ (Lv6)	16		400	159	
	OpenDay617	Mở bán Đá Hồn Bản Tướng		1	400		
	OpenLevel159Add36	Mở giới hạn Lv159 36 ngày		1	400		
	OpenLevel159Add45	Mở giới hạn Lv159 45 ngày		1	400		
	OpenLevel159Add55	Mở giới hạn Lv159 55 ngày		1	400		
	OpenLevel159Add44	Quà Mỗi Ngày mở Đá Hồn Lý Minh Vân		1	400		1
	OpenLevel159Add90	Mở cấp tối đa Lv159 90 ngày		1	400		
OpenLevel169		Tối đa Lv169	16		400	169	
	OpenLevel159Add89	Mở bán Đá Hồn Trương Thừa Tố		1	400		
	OpenLevel169Add45	Mở giới hạn Lv169 45 ngày		1	400		
	OpenLevel169Add55	Mở giới hạn Lv169 55 ngày		1	400		
	OpenLevel169Add23	Quà Mỗi Ngày mở Đá Hồn Công Tôn Khải Dương		1	400		1
	OpenLevel169Add90	Mở giới hạn Lv169 90 ngày		1	400		
OpenLevel179		Cấp tối đa Lv179	16		400	179	
	OpenLevel169Add68	Mở Bày Bán Đá Hồn Dương Kế Chu		1	400		
	OpenLevel179Add45	Mở giới hạn Lv179 45 ngày		1	400		
	OpenLevel179Add55	Mở giới hạn Lv179 55 ngày		1	400		
	OpenLevel179Add26	Quà Mỗi Ngày mở Đá Hồn Nguyên Thiên Xu		1	400		1
	OpenLevel179Add90	Mở tối đa Lv179 được 90 ngày		1	400		
OpenLevel189		Cấp tối đa Lv189, mở chế tạo Gia Cụ (Lv7)	16		400	189	
	OpenLevel179Add47	Mở bày bán Đá Hồn Lý Minh Vân		1	400		
